note_id,x,y,cluster
35332,-2.2839851,-3.403098,4
177544,-1.3103273,3.0093138,-1
119133,-2.0949717,-0.2273438,-1
87716,-2.2484345,-2.6825318,-1
123125,-0.92361504,-1.3955967,4
4679,1.1039084,-1.400993,-1
181433,-5.0487857,4.808735,-1
23063,-1.8005083,3.890596,-1
61241,2.000132,-2.1123357,0
36584,-2.2887173,2.4040177,-1
36412,0.09110367,0.99650633,-1
131842,-3.3146012,0.5161989,-1
43669,-4.099379,0.47367114,-1
146824,-1.0686228,-1.3594998,4
136892,-5.1169953,4.87087,5
159473,-4.8059096,4.5091405,-1
20805,0.34304163,0.38334617,-1
25631,-0.60928875,2.0836296,-1
169582,-2.1707637,-3.2879622,4
23280,0.51586753,1.3555893,-1
106529,-4.085109,3.3777227,4
37575,3.7660296,6.583922,1
175871,-1.7083269,-1.8215214,-1
94429,-1.9187188,-1.963813,-1
165621,-2.2330506,-2.1466234,-1
194265,-3.0168486,2.7223527,-1
114051,-2.276607,-3.4211144,4
52536,1.9510021,-2.0827072,0
202411,-4.0211034,2.9834893,4
56272,-1.9884309,-2.351704,4
54849,-3.3626099,-0.8692283,-1
188378,0.26902398,2.1828747,-1
172620,0.48435608,1.2991419,-1
60926,0.6727273,1.7121872,-1
139070,-1.2896348,-1.1851041,4
84781,1.4435759,-1.1435535,0
184125,-4.2186513,2.2162106,-1
70716,-1.6503402,-1.5715326,-1
85391,-4.433429,-0.81612194,-1
73536,-3.0969398,4.2456894,-1
168073,-2.1416004,-2.9476929,4
149680,0.36172128,1.2278705,-1
66861,-4.1438947,0.5722867,-1
132305,-5.1552887,4.8681245,5
174771,-1.4886051,3.0927188,-1
110036,1.6899804,-1.8890247,0
71133,-0.6011686,-1.402472,-1
22817,-1.5498085,-1.4836837,-1
80112,-3.3894246,2.3439186,-1
152538,-4.214068,3.5957694,4
22861,-2.1939008,-1.5537252,-1
164464,-1.6592934,1.776824,-1
85548,-1.9623467,3.8756325,-1
9030,-4.3688846,-0.8208946,-1
12567,-3.6885085,2.3569567,-1
161210,-1.5505198,2.7909636,-1
24349,-0.018079365,2.7899475,1
34392,-4.426466,-1.199512,-1
73281,-4.268423,2.3168983,-1
179355,-4.107298,-0.37028116,-1
190880,-3.3959408,0.5669225,-1
137423,-1.6049984,3.6272721,-1
196194,-5.1583176,4.833417,5
121727,-4.040794,3.3282218,-1
172737,2.0736616,-1.8588743,0
128137,-0.6521274,-0.09352184,-1
155369,0.31773952,0.40299463,1
112417,-2.326527,-0.13930629,-1
139112,-2.9748368,0.10805321,-1
105996,-0.32532072,2.5658264,-1
183245,0.089452654,0.12489909,-1
92370,3.8250368,6.4781556,1
130406,0.67619634,1.7504566,-1
17414,-0.041440796,2.8092535,-1
81103,-2.2285526,-0.2905837,-1
177545,-0.009952415,-0.067683496,-1
188886,3.857209,6.6234593,1
192959,-2.0369525,-2.797216,4
16900,2.1094341,-2.344029,-1
102012,0.4401614,1.2584572,-1
190130,-0.4928411,4.290727,-1
141518,-4.1745663,0.14080244,-1
170370,-4.283222,2.297252,-1
141798,-2.3236594,-0.5798497,-1
197645,-4.3071613,2.1909192,-1
68295,-1.5821894,1.8206915,-1
8163,0.023321241,2.747177,1
187231,-2.6906874,3.4113052,-1
156784,-1.7992735,3.7757628,-1
24927,-1.5473708,2.7651472,-1
33002,-2.8701942,1.3997514,-1
180993,-1.7449894,0.02488901,-1
100791,-0.7488573,-0.28291434,-1
161372,-4.8774977,4.5555077,-1
161623,-2.1047525,-0.40990043,-1
66962,-4.0324407,-2.4861038,-1
11117,-1.0813968,2.474486,-1
125260,-1.2223126,-0.07179925,-1
16762,3.8237872,6.646786,1
128812,-3.7815244,2.5935373,-1
97540,-2.1901672,-1.6577281,-1
151878,-2.1991334,2.3535573,-1
139314,-2.1358273,0.8092467,-1
60225,3.7993362,6.703299,1
204931,0.9202298,-0.13238497,-1
64973,-4.544474,0.17473505,-1
64275,-4.7509584,-0.7013181,-1
52599,-0.50073004,4.201428,-1
185818,-2.1642487,2.3147814,-1
115632,-2.0886166,0.96921945,-1
154326,-4.324209,-0.104240194,-1
63962,-3.9168534,3.6691973,4
71437,0.35363314,1.1966959,-1
2323,-5.321458,-0.0766704,3
90288,2.087091,-2.2121336,0
180103,-0.7578833,0.56531787,-1
78821,-3.4012046,0.7967738,-1
176044,3.8257072,6.7840543,1
3921,-0.5140117,1.9734285,-1
36925,-1.7983165,3.7682076,-1
100032,-1.8715875,3.7563763,-1
125040,1.8958766,-2.0377223,-1
140112,2.047896,-2.1557565,0
8490,-1.4188658,2.0109522,-1
193031,-1.5239263,2.9896257,-1
188228,-4.583122,0.017925221,-1
75324,-2.4356194,-0.5651649,-1
88147,-2.3264098,-3.4465172,4
153128,-3.2299066,2.2826874,-1
64784,-5.476585,0.112924255,3
206103,-1.9623269,-2.273651,4
102022,-5.400224,0.035414852,3
109848,-3.1722791,4.224385,-1
54019,-5.233501,4.718437,5
67729,-4.6549892,-0.8948483,-1
175699,-0.5191307,4.2812123,-1
117224,-1.9893205,3.560784,-1
78458,-3.7524898,3.390774,-1
204120,-3.1239665,4.161993,-1
36391,-3.1868215,0.49111542,-1
157897,3.6639326,6.4459853,1
94093,-4.0604086,3.1833613,4
38436,-4.631328,-0.8654513,2
177262,-4.3048525,2.3263369,-1
23930,-1.4804287,4.3134456,-1
94576,-2.8436027,-1.4404135,-1
